GeoId|Geography|LEAID|Year|Iteration|CDP02.11_92est|CDP02.11_92moe|CDP02.11_93est|CDP02.11_93moe|CDP02.11_93pct|CDP02.11_93pctmoe|CDP02.11_94est|CDP02.11_94moe|CDP02.11_94pct|CDP02.11_94pctmoe
97000US2700106|A.C.G.C. Public School District|2700106|2014-2018|102|560|70|560|70|100.0|3.1|495|65|88.4|4.4
97000US4500690|Abbeville County School District|4500690|2014-2018|102|2075|232|1970|235|94.9|3.4|1805|245|87.0|4.8
97000US5500030|Abbotsford School District|5500030|2014-2018|102|465|82|445|82|95.7|2.9|435|82|93.5|4.0
97000US4807380|Abbott Independent School District|4807380|2014-2018|102|115|32|115|32|100.0|28.6|105|29|91.3|11.4
97000US2800360|Aberdeen School District|2800360|2014-2018|102|900|149|825|142|91.7|5.9|760|146|84.4|9.1
97000US5300030|Aberdeen School District|5300030|2014-2018|102|2080|188|2000|190|96.2|2.8|1810|207|87.0|5.1
97000US1600030|Aberdeen School District 58|1600030|2014-2018|102|450|119|420|120|93.3|8.3|380|112|84.4|10.6
97000US4807410|Abernathy Independent School District|4807410|2014-2018|102|475|92|430|85|90.5|7.4|380|75|80.0|9.8
97000US4807440|Abilene Independent School District|4807440|2014-2018|102|9900|541|9275|540|93.7|1.7|7610|454|76.9|3.3
97000US2003180|Abilene Unified School District 435|2003180|2014-2018|102|880|127|840|115|95.5|5.4|775|105|88.1|7.3
97000US3400660|Absecon City School District|3400660|2014-2018|102|725|98|675|93|93.1|9.4|660|93|91.0|9.8
97000US1700105|A-C Central Community Unit School District 262|1700105|2014-2018|102|320|54|315|54|98.4|1.9|270|50|84.4|10.2
97000US4807470|Academy Independent School District|4807470|2014-2018|102|915|186|910|185|99.5|1.2|840|183|91.8|5.3
97000US2200030|Acadia Parish School District|2200030|2014-2018|102|7390|501|7040|504|95.3|1.9|6505|497|88.0|2.7
97000US5100060|Accomack County Public Schools|5100060|2014-2018|102|3195|355|3040|345|95.1|2.7|2385|356|74.6|6.6
97000US0600001|Acton-Agua Dulce Unified School District|0600001|2014-2018|102|885|138|885|138|100.0|3.9|825|139|93.2|4.8
97000US2700126|Ada-Borup Public School District|2700126|2014-2018|102|295|43|275|46|93.2|7.2|235|35|79.7|9.9
97000US2100030|Adair County School District|2100030|2014-2018|102|1835|182|1670|182|91.0|5.2|1445|169|78.7|6.9
97000US1903090|Adair-Casey Community School District|1903090|2014-2018|102|195|44|190|43|97.4|3.9|160|39|82.1|8.6
97000US1800060|Adams Central Community Schools|1800060|2014-2018|102|920|128|655|126|71.2|6.9|610|121|66.3|7.5
97000US5500060|Adams-Friendship Area School District|5500060|2014-2018|102|1020|91|980|90|96.1|2.7|875|95|85.8|4.8
97000US5099903|Addison Central Supervisory Union|5099903|2014-2018|102|1180|113|1125|120|95.3|3.8|1030|118|87.3|4.9
97000US5099901|Addison Northeast Supervisory Union|5099901|2014-2018|102|1235|115|1235|115|100.0|1.6|1145|121|92.7|4.1
97000US5099902|Addison Northwest Supervisory Union|5099902|2014-2018|102|695|74|690|73|99.3|1.6|680|74|97.8|2.3
97000US5099904|Addison Rutland Supervisory Union|5099904|2014-2018|102|835|100|810|97|97.0|3.1|705|90|84.4|7.4
95000US1703150|Addison School District 4|1703150|2014-2018|102|3265|294|3180|271|97.4|2.0|2835|275|86.8|4.5
97000US1903150|Adel-De Soto-Minburn Community School District|1903150|2014-2018|102|1060|109|1060|109|100.0|1.9|1035|109|97.6|1.6
97000US4600042|Agar-Blunt-Onida School District 58-3|4600042|2014-2018|102|210|42|200|41|95.2|7.6|180|41|85.7|10.9
97000US4807530|Agua Dulce Independent School District|4807530|2014-2018|102|155|53|105|46|67.7|16.7|95|45|61.3|19.5
96000US0400450|Agua Fria Union High School District|0400450|2014-2018|102|7260|475|7085|460|97.6|1.3|6520|449|89.8|2.6
95000US0400480|Aguila Elementary District|0400480|2014-2018|102|130|53|95|44|73.1|19.6|80|44|61.5|20.8
97000US1903060|AGWSR Community School District|1903060|2014-2018|102|490|76|455|78|92.9|4.6|445|78|90.8|4.9
