GeoId|Geography|LEAID|Year|Iteration|CDP02.2_10est|CDP02.2_10moe|CDP02.2_11est|CDP02.2_11moe|CDP02.2_11pct|CDP02.2_11pctmoe|CDP02.2_12est|CDP02.2_12moe|CDP02.2_12pct|CDP02.2_12pctmoe|CDP02.2_13est|CDP02.2_13moe|CDP02.2_13pct|CDP02.2_13pctmoe|CDP02.2_14est|CDP02.2_14moe|CDP02.2_14pct|CDP02.2_14pctmoe|CDP02.2_15est|CDP02.2_15moe|CDP02.2_15pct|CDP02.2_15pctmoe
97000US2700106|A.C.G.C. Public School District|2700106|2014-2018|102|975|118|90|29|9.2|2.6|75|25|7.7|2.1|555|70|56.9|3.1|255|43|26.2|3.4|0|12|0.0|1.8
97000US4500690|Abbeville County School District|4500690|2014-2018|102|3860|155|170|110|4.4|2.8|395|141|10.2|3.6|2185|161|56.6|4.2|1115|151|28.9|3.8|0|23|0.0|0.9
97000US5500030|Abbotsford School District|5500030|2014-2018|102|790|137|25|14|3.2|1.8|55|24|7.0|2.8|530|105|67.1|4.7|175|47|22.2|5.1|0|9|0.0|2.2
97000US4807380|Abbott Independent School District|4807380|2014-2018|102|225|74|10|9|4.4|3.5|10|9|4.4|3.6|140|62|62.2|13.1|70|26|31.1|11.5|0|13|0.0|16.2
97000US2800360|Aberdeen School District|2800360|2014-2018|102|1605|233|55|58|3.4|3.5|130|64|8.1|3.6|1115|189|69.5|6.5|310|105|19.3|6.5|0|18|0.0|2.3
97000US5300030|Aberdeen School District|5300030|2014-2018|102|3670|336|405|122|11.0|3.2|155|87|4.2|2.4|2015|287|54.9|5.6|1095|189|29.8|4.6|0|22|0.0|0.9
97000US1600030|Aberdeen School District 58|1600030|2014-2018|102|770|195|50|43|6.5|5.5|70|37|9.1|4.5|460|148|59.7|10.2|185|99|24.0|11.6|0|12|0.0|4.1
97000US4807410|Abernathy Independent School District|4807410|2014-2018|102|815|166|55|38|6.7|4.7|20|21|2.5|2.6|535|138|65.6|7.7|210|68|25.8|8.2|0|13|0.0|4.8
97000US4807440|Abilene Independent School District|4807440|2014-2018|102|16770|640|1240|268|7.4|1.5|1635|277|9.7|1.6|9375|530|55.9|2.5|4520|385|27.0|2.2|0|31|0.0|0.2
97000US2003180|Abilene Unified School District 435|2003180|2014-2018|102|1390|189|145|72|10.4|4.9|65|55|4.7|3.9|770|140|55.4|6.7|415|85|29.9|4.8|0|15|0.0|1.8
