DistrictNCES,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,Population,Confirmed_Cases_Sept1_Nov17
200004,Yupiit School District,Public,Akiachak,AK,463.0,On Premises,No,No,No,No,Pending,Pending,Pending,Pending,Pending,Pending,18386,0
200760,Kuspuk School District,Public,Aniak,AK,385.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,18386,0
200001,Lower Kuskokwim School District,Public,Bethel,AK,4310.0,Unknown,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,18386,0
200770,Denali Borough School District,Public,Healy,AK,950.0,On Premises,No,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2097,0
200520,Iditarod Area School District,Public,McGrath,AK,330.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,18386,0
200003,Lower Yukon School District,Public,Mountain Village,AK,2105.0,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,No,Closed indefinitely,Yes,18386,0
200030,Bristol Bay Borough School District,Public,Naknek,AK,99.0,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,836,0
200610,North Slope Borough School District,Public,Utqiagvik,AK,2197.0,Hybrid,No,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,4156,0
101740,Henry County School District,Public,Abbeville,AL,2650.0,Hybrid,Yes,Yes,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,17205,3
101740,Henry County School District,Public,Abbeville,AL,2650.0,Hybrid,Yes,Yes,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,234561,51
101740,Henry County School District,Public,Abbeville,AL,2650.0,Hybrid,Yes,Yes,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,16126,1
1302820,Henry County School District,Public,McDonough,GA,43776.0,Hybrid,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Yes,17205,3
1302820,Henry County School District,Public,McDonough,GA,43776.0,Hybrid,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Yes,234561,51
1302820,Henry County School District,Public,McDonough,GA,43776.0,Hybrid,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Yes,16126,1
5101920,Henry County School District,Public,Collinsville,VA,7927.0,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,17205,3
5101920,Henry County School District,Public,Collinsville,VA,7927.0,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,234561,51
5101920,Henry County School District,Public,Collinsville,VA,7927.0,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,16126,1
100060,Andalusia City School District,Public,Andalusia,AL,1760.0,Hybrid,Yes,Yes,Yes,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,37049,7
100930,Covington County School District,Public,Andalusia,AL,3310.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,37049,7
2801290,Covington County School District,Public,Collins,MS,3435.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed indefinitely,Yes,37049,7
100090,Anniston City School District,Public,Anniston,AL,2073.0,Online Only,Unknown,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,113605,45
100540,Calhoun County School District,Public,Anniston,AL,9881.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,113605,45
1200210,Calhoun County School District,Public,Blountstown,FL,2306.0,On Premises,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,113605,45
4501250,Calhoun County School District,Public,Saint Matthews,SC,1822.0,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,113605,45
5400210,Calhoun County School District,Public,Mount Zion,WV,1225.0,On Premises,Unknown,Unknown,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Never closed,No,113605,45
100100,Arab City School District,Public,Arab,AL,2369.0,Hybrid,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,83768,16
100100,Arab City School District,Public,Arab,AL,2369.0,Hybrid,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,96774,12
100120,Athens City School District,Public,Athens,AL,3874.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,98915,27
3904352,Athens City School District,Public,The Plains,OH,2665.0,Online Only,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Pending,Yes,98915,27
4700120,Athens City School District,Public,Athens,TN,1762.0,Unknown,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,98915,27
102100,Limestone County School District,Public,Athens,AL,9470.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Unknown,98915,27
100210,Auburn City School District,Public,Auburn,AL,9371.0,Online Only,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,164542,16
100450,Brewton City School District,Public,Brewton,AL,1176.0,Hybrid,Yes,Yes,Unknown,Yes,Not required,Unknown,Yes,Yes,Never closed,Yes,36633,9
101350,Escambia County School District,Public,Brewton,AL,4931.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,36633,9
1200510,Escambia County School District,Public,Pensacola,FL,40251.0,Hybrid,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,36633,9
103510,Wilcox County School District,Public,Camden,AL,2015.0,Hybrid,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,8635,8
1305730,Wilcox County School District,Public,Abbeville,GA,1275.0,Hybrid,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,8635,8
102730,Pickens County School District,Public,Carrollton,AL,2966.0,Hybrid,Yes,Yes,No,Yes,Pending,Pending,Pending,Pending,Pending,Pending,32591,9
100630,Cherokee County School District,Public,Centre,AL,4792.0,Hybrid,Unknown,Unknown,Yes,Unknown,Required for all staff,Required for middle/high school students only,Unknown,Unknown,Never closed,Unknown,26196,4
1301110,Cherokee County School District,Public,Canton,GA,43589.0,Hybrid,Yes,Unknown,Pending,Unknown,Pending,Pending,Pending,Pending,Pending,Yes,26196,4
3700780,Cherokee County School District,Public,Murphy,NC,3251.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,26196,4
4501500,Cherokee County School District,Public,Gaffney,SC,10217.0,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,26196,4
