DistrictName,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,# K-12,% Kindergarten,% 1st-8th,% 9th-12th,White,Black_AfricanAmerican,NativeAmerican,Asian,Other,<$10k,$10k-$15k,$15k-$25k,$25k-$35k,$35k-$50k,$50k-$75k,$75k-$100k,$100k-$150k,$150k-$200k,$200k<,% with Computer,% with Internet
Yupiit School District,AK,463.0,On Premises,No,No,No,No,Pending,Pending,Pending,Pending,Pending,Pending,390,14.102564102564102,58.97435897435897,26.923076923076923,2.4,0.0,98.8,0.0,0.0,7.9,7.9,15.8,13.2,10.5,26.3,7.9,10.5,0.0,0.0,86.8,52.6
Anchorage School District,AK,48347.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,49365,8.40676592727641,60.346399270738374,31.246834801985212,66.0,11.0,18.5,16.6,9.2,2.4,1.4,4.8,4.9,7.3,17.2,14.9,22.4,12.8,11.9,98.4,92.9
Chatham School District,AK,156.0,Hybrid,No,Unknown,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,130,23.076923076923077,61.53846153846154,15.384615384615385,46.4,2.9,60.7,7.1,0.0,5.3,5.3,13.3,5.3,13.3,13.3,20.0,13.3,5.3,5.3,93.3,86.7
Kuspuk School District,AK,385.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,340,10.294117647058824,61.76470588235294,27.941176470588236,8.6,0.0,98.8,0.0,0.0,9.8,7.3,7.3,14.6,17.1,19.5,9.8,12.2,2.0,2.0,90.2,73.2
Lower Kuskokwim School District,AK,4310.0,Unknown,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,3930,6.997455470737913,65.01272264631044,27.989821882951652,10.3,1.7,89.6,1.0,2.1,6.7,5.1,11.3,7.7,13.3,16.4,10.0,16.7,8.2,4.6,93.3,82.1
Kashunamiut School District,AK,323.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Unknown,Yes,Unknown,Never closed,Yes,290,10.344827586206897,67.24137931034483,22.413793103448278,1.2,1.2,98.6,0.0,0.0,3.0,3.0,11.1,18.5,29.6,18.5,7.4,7.4,3.0,0.0,85.2,77.8
Craig City School District,AK,620.0,On Premises,Yes,Yes,No,Yes,Not required,Not required,Yes,Yes,Closed indefinitely,No,225,6.666666666666667,66.66666666666667,26.666666666666668,78.4,3.9,45.1,3.9,1.6,3.0,3.0,7.4,11.1,7.4,18.5,11.1,18.5,11.1,7.4,92.6,70.4
Delta-Greely School District,AK,792.0,On Premises,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,960,4.6875,65.625,29.6875,92.9,4.9,4.9,2.2,4.5,0.0,3.2,0.9,3.2,3.2,24.5,18.1,26.6,14.9,5.3,98.9,78.7
Dillingham City School District,AK,490.0,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,375,10.666666666666666,58.666666666666664,30.666666666666668,36.4,1.9,78.5,0.7,1.4,1.4,1.4,3.5,5.3,12.3,22.8,14.0,22.8,7.0,8.8,100.0,94.7
Southwest Region School District,AK,641.0,On Premises,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,640,10.9375,57.8125,31.25,6.3,1.3,96.2,0.5,0.0,8.3,1.1,11.1,15.3,16.7,19.4,13.9,13.9,1.1,0.0,88.9,77.8
