DistrictName,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,% Kindergarten,% 1st-8th,% 9th-12th,White,Black_AfricanAmerican,NativeAmerican,Asian,Other,<10k,10k-15k,15k-25k,25k-35k,35k-50k,50k-75k,75k-100k,100k-150k,150k-200k,200k<,% with Computer,% with Internet
Yupiit School District,AK,463.0,On Premises,No,No,No,No,Pending,Pending,Pending,Pending,Pending,Pending,0.14102564102564105,0.5897435897435898,0.2692307692307693,0.024,0.0,0.988,0.0,0.0,0.079,0.079,0.158,0.132,0.105,0.263,0.079,0.105,0.0,0.0,0.868,0.526
Anchorage School District,AK,48347.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,0.0840676592727641,0.6034639927073837,0.3124683480198521,0.66,0.11,0.185,0.166,0.092,0.024,0.013999999999999999,0.048,0.049,0.073,0.172,0.149,0.22399999999999998,0.128,0.11900000000000001,0.9840000000000001,0.929
Chatham School District,AK,156.0,Hybrid,No,Unknown,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,0.23076923076923075,0.6153846153846154,0.15384615384615385,0.46399999999999997,0.028999999999999998,0.607,0.071,0.0,0.053,0.053,0.133,0.053,0.133,0.133,0.2,0.133,0.053,0.053,0.9329999999999999,0.867
Kuspuk School District,AK,385.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,0.10294117647058822,0.6176470588235293,0.2794117647058823,0.086,0.0,0.988,0.0,0.0,0.098,0.073,0.073,0.146,0.171,0.195,0.098,0.122,0.02,0.02,0.902,0.732
Lower Kuskokwim School District,AK,4310.0,Unknown,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,0.06997455470737914,0.6501272264631044,0.27989821882951654,0.10300000000000001,0.017,0.8959999999999999,0.01,0.020999999999999998,0.067,0.051,0.113,0.077,0.133,0.16399999999999998,0.1,0.16699999999999998,0.08199999999999999,0.046,0.9329999999999999,0.821
Kashunamiut School District,AK,323.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Unknown,Yes,Unknown,Never closed,Yes,0.10344827586206896,0.6724137931034483,0.22413793103448276,0.012,0.012,0.986,0.0,0.0,0.03,0.03,0.111,0.185,0.29600000000000004,0.185,0.07400000000000001,0.07400000000000001,0.03,0.0,0.852,0.778
Craig City School District,AK,620.0,On Premises,Yes,Yes,No,Yes,Not required,Not required,Yes,Yes,Closed indefinitely,No,0.06666666666666667,0.6666666666666666,0.26666666666666666,0.784,0.039,0.451,0.039,0.016,0.03,0.03,0.07400000000000001,0.111,0.07400000000000001,0.185,0.111,0.185,0.111,0.07400000000000001,0.9259999999999999,0.7040000000000001
Delta-Greely School District,AK,792.0,On Premises,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,0.046875,0.65625,0.296875,0.929,0.049,0.049,0.022000000000000002,0.045,0.0,0.032,0.009000000000000001,0.032,0.032,0.245,0.18100000000000002,0.266,0.149,0.053,0.9890000000000001,0.787
Dillingham City School District,AK,490.0,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,0.10666666666666667,0.5866666666666667,0.30666666666666664,0.364,0.019,0.785,0.006999999999999999,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.035,0.053,0.12300000000000001,0.228,0.14,0.228,0.07,0.08800000000000001,1.0,0.9470000000000001
Southwest Region School District,AK,641.0,On Premises,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.10937499999999999,0.578125,0.3125,0.063,0.013000000000000001,0.9620000000000001,0.005,0.0,0.083,0.011000000000000001,0.111,0.153,0.16699999999999998,0.19399999999999998,0.139,0.139,0.011000000000000001,0.0,0.889,0.778
Fairbanks North Star Borough Schl Dist,AK,13963.0,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,0.0985691573926868,0.6483306836248013,0.2531001589825119,0.83,0.087,0.162,0.055999999999999994,0.026000000000000002,0.028999999999999998,0.012,0.013000000000000001,0.064,0.102,0.162,0.183,0.222,0.125,0.08900000000000001,0.995,0.9129999999999999
Yukon-Koyukuk School District,AK,2069.0,Online Only,Unknown,Unknown,Pending,Yes,Pending,Pending,Pending,Pending,Pending,Pending,0.11235955056179775,0.5955056179775281,0.29213483146067415,0.23,0.008,0.83,0.008,0.0,0.067,0.044000000000000004,0.156,0.111,0.133,0.244,0.067,0.111,0.044000000000000004,0.018000000000000002,0.8220000000000001,0.511
Yukon Flats School District,AK,242.0,Online Only,No,Unknown,No,No,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,0.12244897959183672,0.5510204081632653,0.32653061224489793,0.121,0.013999999999999999,1.0,0.0,0.0,0.133,0.067,0.16699999999999998,0.133,0.1,0.2,0.1,0.133,0.027000000000000003,0.0,0.767,0.33299999999999996
Galena City School District,AK,4313.0,Hybrid,No,No,No,Yes,Pending,Pending,Pending,Pending,Pending,Pending,0.03508771929824561,0.6140350877192982,0.3508771929824561,0.46399999999999997,0.028999999999999998,0.5710000000000001,0.0,0.0,0.0,0.062,0.062,0.062,0.062,0.154,0.154,0.154,0.154,0.062,0.846,0.6920000000000001
Copper River School District,AK,479.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,0.04938271604938272,0.8641975308641976,0.08641975308641975,0.813,0.009000000000000001,0.297,0.066,0.055,0.0,0.0,0.10300000000000001,0.069,0.027999999999999997,0.31,0.027999999999999997,0.172,0.138,0.10300000000000001,1.0,0.9309999999999999
Haines Borough School District,AK,249.0,Hybrid,Yes,Unknown,Yes,No,Not required,Required for all students,Yes,No,Closed 1-5 days,Yes,0.02777777777777778,0.7222222222222222,0.25,0.8490000000000001,0.068,0.151,0.08199999999999999,0.0,0.021,0.0,0.021,0.158,0.021,0.237,0.021,0.42100000000000004,0.021,0.132,0.9740000000000001,0.9470000000000001
Denali Borough School District,AK,950.0,On Premises,No,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,0.0,0.5641025641025641,0.43589743589743585,0.917,0.017,0.083,0.083,0.0,0.035,0.0,0.0,0.035,0.13,0.13,0.174,0.435,0.087,0.0,1.0,1.0
Hoonah City Schools,AK,125.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,0.04040404040404041,0.6565656565656566,0.30303030303030304,0.33299999999999996,0.095,0.81,0.0,0.0,0.0,0.0,0.067,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.067,0.0,0.917,0.75
Hydaburg City School District,AK,93.0,Unknown,No,Unknown,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Unknown,0.05797101449275363,0.5797101449275364,0.3623188405797102,0.222,0.0,0.778,0.0,0.111,0.08900000000000001,0.08900000000000001,0.222,0.08900000000000001,0.08900000000000001,0.08900000000000001,0.222,0.08900000000000001,0.0,0.0,1.0,0.667
Juneau School District,AK,4863.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,0.09432048681541584,0.5983772819472617,0.30730223123732253,0.7609999999999999,0.037000000000000005,0.264,0.159,0.053000000000000005,0.027000000000000003,0.013000000000000001,0.019,0.013000000000000001,0.04,0.131,0.18600000000000003,0.27899999999999997,0.142,0.14800000000000002,0.982,0.97
Kake City School District,AK,102.0,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,0.04255319148936171,0.6382978723404256,0.3191489361702128,0.318,0.036000000000000004,0.8640000000000001,0.036000000000000004,0.0,0.073,0.0,0.073,0.182,0.182,0.273,0.182,0.073,0.0,0.0,1.0,0.909
Ketchikan Gateway Borough Schl District,AK,2397.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Pending,Yes,Closed 1-5 days,Yes,0.0735632183908046,0.6252873563218391,0.30114942528735633,0.716,0.023,0.293,0.135,0.041,0.027000000000000003,0.013999999999999999,0.031,0.061,0.085,0.22399999999999998,0.149,0.22399999999999998,0.115,0.071,0.9690000000000001,0.922
Lake and Peninsula School District,AK,386.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,0.08928571428571429,0.5892857142857143,0.32142857142857145,0.24600000000000002,0.012,0.769,0.077,0.012,0.027000000000000003,0.067,0.067,0.1,0.16699999999999998,0.3,0.1,0.1,0.027000000000000003,0.027000000000000003,0.9329999999999999,0.767
Klawock City School District,AK,115.0,On Premises,Unknown,Yes,Yes,Unknown,Required for all staff,Required for middle/high school students only,Yes,Yes,Closed 1-5 days,Unknown,0.12,0.64,0.24,0.654,0.0,0.5770000000000001,0.031,0.0,0.0,0.0,0.057,0.057,0.14300000000000002,0.214,0.28600000000000003,0.14300000000000002,0.057,0.057,0.929,0.643
Kodiak Island Borough School District,AK,2323.0,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,0.07966457023060797,0.6163522012578616,0.3039832285115304,0.529,0.001,0.257,0.273,0.08399999999999999,0.026000000000000002,0.003,0.04,0.063,0.033,0.301,0.156,0.255,0.086,0.036000000000000004,0.9670000000000001,0.94
